dataset,rung,model,split,train_rate,seed,auprc,auroc,best_f1,n_train,n_test,n_feats,wall_s
yelp,b0,lightgbm,random,0.4,0,0.8978782628592866,0.9703320331676198,0.8170161411977673,18382,22976,132,9.42
yelp,b0,xgboost,random,0.4,0,0.8834258044918054,0.9664500862861654,0.802147010585955,18382,22976,132,1.83
yelp,b,lightgbm,random,0.4,0,0.892675340288444,0.9688876452892624,0.8121705076065672,18382,22976,136,9.35
yelp,b,xgboost,random,0.4,0,0.8743810266908122,0.9641221660283609,0.7960813865862848,18382,22976,136,1.87
yelp,a,lightgbm,random,0.4,1,0.8238230183487448,0.9454616576816899,0.7463325183374082,18382,22976,32,7.16
yelp,a,xgboost,random,0.4,1,0.8077038289967272,0.9399704300322355,0.7315616601970738,18382,22976,32,1.09
yelp,aL,lightgbm,random,0.4,1,0.8250468883442227,0.946036380109704,0.7444512946979039,18382,22976,36,7.26
yelp,aL,xgboost,random,0.4,1,0.7983360820108845,0.9387452738790198,0.7204718298929069,18382,22976,36,1.13
yelp,b0,lightgbm,random,0.4,1,0.8914377785752228,0.9669926050977455,0.8169574533210896,18382,22976,132,9.35
yelp,b0,xgboost,random,0.4,1,0.871274835258803,0.9620069788028505,0.7889710412815774,18382,22976,132,1.91
yelp,b,lightgbm,random,0.4,1,0.8890436933535533,0.966684817241197,0.812809405940594,18382,22976,136,9.6
yelp,b,xgboost,random,0.4,1,0.8656064104491948,0.959798773315281,0.7807536592961695,18382,22976,136,1.88
yelp,a,lightgbm,random,0.4,2,0.8256561423793184,0.9451310023589949,0.7483200977397678,18382,22976,32,7.16
yelp,a,xgboost,random,0.4,2,0.800227658843616,0.939281660121293,0.7228458959031928,18382,22976,32,1.1
yelp,aL,lightgbm,random,0.4,2,0.8251701199225114,0.9459878229751186,0.7458359037631092,18382,22976,36,7.3
yelp,aL,xgboost,random,0.4,2,0.8033354191179762,0.9398856114119731,0.7261669454158431,18382,22976,36,1.14
yelp,b0,lightgbm,random,0.4,2,0.8930357842385382,0.967447788189721,0.8151069315941151,18382,22976,132,9.46
yelp,b0,xgboost,random,0.4,2,0.8765460906263777,0.9633030713920768,0.7995761429003936,18382,22976,132,1.92
yelp,b,lightgbm,random,0.4,2,0.8939100852053252,0.9674564226032225,0.8190072639225183,18382,22976,136,9.59
yelp,b,xgboost,random,0.4,2,0.8668097455147264,0.9604905561178602,0.7883804466656256,18382,22976,136,1.92
yelp,a,lightgbm,random,0.4,3,0.8302454182017261,0.9476846835450838,0.7506365134042234,18382,22976,32,7.28
yelp,a,xgboost,random,0.4,3,0.8024047700178776,0.9400903736296834,0.724475122231809,18382,22976,32,1.12
yelp,aL,lightgbm,random,0.4,3,0.8226823001702029,0.9466664939783966,0.737304258744329,18382,22976,36,7.29
yelp,aL,xgboost,random,0.4,3,0.7976957422454148,0.9387647547024145,0.7147490347490347,18382,22976,36,1.14
yelp,b0,lightgbm,random,0.4,3,0.8889995532479934,0.9652139006612862,0.8140533906106168,18382,22976,132,9.44
yelp,b0,xgboost,random,0.4,3,0.8788097616305465,0.9620545138425513,0.8019559902200488,18382,22976,132,1.85
yelp,b,lightgbm,random,0.4,3,0.8871730216263741,0.9653449423785619,0.8084515731030228,18382,22976,136,9.34
yelp,b,xgboost,random,0.4,3,0.8675276406428201,0.9603740449286062,0.7853419196565471,18382,22976,136,1.87
yelp,a,lightgbm,random,0.4,4,0.8319585466926429,0.9476584446913338,0.7501189909566873,18382,22976,32,7.23
yelp,a,xgboost,random,0.4,4,0.8097391583661263,0.941037375050426,0.7295728531031404,18382,22976,32,1.1
yelp,aL,lightgbm,random,0.4,4,0.8375743497604827,0.9509918469779339,0.7546030787805614,18382,22976,36,7.37
yelp,aL,xgboost,random,0.4,4,0.8116614073019193,0.9434379403207646,0.7280260432080498,18382,22976,36,1.15
yelp,b0,lightgbm,random,0.4,4,0.8981165283209817,0.969488728612207,0.8215704246868316,18382,22976,132,9.55
yelp,b0,xgboost,random,0.4,4,0.884837774483922,0.9668934924042485,0.8062556938961434,18382,22976,132,1.9
yelp,b,lightgbm,random,0.4,4,0.8972463025982604,0.9688893996312282,0.8200598802395209,18382,22976,136,9.64
yelp,b,xgboost,random,0.4,4,0.8789767450043071,0.9651882186204207,0.8002441629787883,18382,22976,136,1.9
amazon,a,lightgbm,random,0.05,0,0.8651370062380156,0.9538850116747625,0.8251633986928104,432,7343,25,1.58
amazon,a,xgboost,random,0.05,0,0.8660552401514985,0.9548089672524529,0.806291390728477,432,7343,25,0.69
amazon,aL,lightgbm,random,0.05,0,0.8774409997192159,0.9581420418652884,0.8277551020408163,432,7343,29,1.5
amazon,aL,xgboost,random,0.05,0,0.8666905031987091,0.9531619956836797,0.8085456039441249,432,7343,29,0.64
amazon,b0,lightgbm,random,0.05,0,0.8476709239304839,0.9500553015064002,0.8101460415065335,432,7343,104,1.47
amazon,b0,xgboost,random,0.05,0,0.8557853464143567,0.9548931592144383,0.8152580403889305,432,7343,104,0.53
amazon,b,lightgbm,random,0.05,0,0.8467183676568555,0.950709864365779,0.8121752041573868,432,7343,108,1.47
amazon,b,xgboost,random,0.05,0,0.8506670967924476,0.9532072717707908,0.8151447661469934,432,7343,108,0.53
amazon,a,lightgbm,random,0.05,1,0.8622310162626554,0.9606294238510116,0.8365079365079366,432,7343,25,1.75
amazon,a,xgboost,random,0.05,1,0.8728517523433188,0.9612170427815904,0.8589147286821704,432,7343,25,0.7
amazon,aL,lightgbm,random,0.05,1,0.8879890778959679,0.9693194141705529,0.856259659969088,432,7343,29,1.5
amazon,aL,xgboost,random,0.05,1,0.8685529772980523,0.9591870570758978,0.8538638102524866,432,7343,29,0.64
amazon,b0,lightgbm,random,0.05,1,0.8866535040783379,0.9634461354703647,0.8565088757396451,432,7343,104,1.57
amazon,b0,xgboost,random,0.05,1,0.8708675401592468,0.9535651684593841,0.8494623655913978,432,7343,104,0.58
amazon,b,lightgbm,random,0.05,1,0.8832887179383755,0.9602966446107443,0.8528301886792452,432,7343,108,1.49
amazon,b,xgboost,random,0.05,1,0.8709778283694848,0.9527165652266715,0.8511627906976744,432,7343,108,0.57
amazon,a,lightgbm,random,0.05,2,0.8832542346913957,0.9617754478559617,0.8472983555207517,432,7343,25,1.49
amazon,a,xgboost,random,0.05,2,0.9007987618022119,0.9657968267930948,0.8676358071920429,432,7343,25,0.66
amazon,aL,lightgbm,random,0.05,2,0.8952698337415872,0.96627190230714,0.848159509202454,432,7343,29,1.41
amazon,aL,xgboost,random,0.05,2,0.8996800740114081,0.9636759655125575,0.8722264728385617,432,7343,29,0.65
amazon,b0,lightgbm,random,0.05,2,0.8915872923442507,0.9687267286302259,0.844979919678715,432,7343,104,1.53
amazon,b0,xgboost,random,0.05,2,0.9042333643729391,0.9701590699860506,0.863914373088685,432,7343,104,0.53
amazon,b,lightgbm,random,0.05,2,0.8878701951057668,0.964009068153447,0.8462151394422309,432,7343,108,1.45
amazon,b,xgboost,random,0.05,2,0.8994128437769139,0.9666470470289186,0.8695652173913042,432,7343,108,0.53
amazon,a,lightgbm,random,0.05,3,0.8859934241336778,0.9604305324683444,0.8495842781557067,432,7343,25,1.64
amazon,a,xgboost,random,0.05,3,0.8874900144586239,0.9567392377662935,0.8478260869565217,432,7343,25,0.68
amazon,aL,lightgbm,random,0.05,3,0.8937965621698242,0.9631090442218011,0.8515928515928515,432,7343,29,1.54
amazon,aL,xgboost,random,0.05,3,0.8905900756549338,0.9640367728067509,0.8403614457831325,432,7343,29,0.65
amazon,b0,lightgbm,random,0.05,3,0.901129774556367,0.9722814404694915,0.8536953242835597,432,7343,104,1.58
